epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,397.165,1.48265,0.98779,0.92993,0.72465,0.70456,0.75412,0.45624,1.33723,1.02235,0.9427,0.0011882,0.0011882,0.0011882
43,405.981,1.42222,0.95891,0.92454,0.75146,0.69349,0.76721,0.46611,1.32767,0.95971,0.94156,0.0011684,0.0011684,0.0011684
44,414.823,1.45073,0.96908,0.93019,0.7184,0.69554,0.74861,0.43625,1.41242,1.00844,0.95379,0.0011486,0.0011486,0.0011486
45,423.639,1.45231,0.96889,0.92793,0.72976,0.67438,0.73949,0.44683,1.34595,1.01138,0.93967,0.0011288,0.0011288,0.0011288
46,432.365,1.4071,0.94339,0.9252,0.71004,0.72401,0.76706,0.45245,1.38251,0.97853,0.93748,0.001109,0.001109,0.001109
47,441.25,1.41666,0.95567,0.92303,0.72732,0.69081,0.75601,0.45956,1.31714,0.98975,0.93163,0.0010892,0.0010892,0.0010892
48,450.108,1.42175,0.95543,0.92313,0.71745,0.69282,0.75232,0.45256,1.34299,1.01687,0.94429,0.0010694,0.0010694,0.0010694
49,459.126,1.40747,0.94119,0.92402,0.71721,0.71965,0.76693,0.4697,1.31077,1.00302,0.937,0.0010496,0.0010496,0.0010496
50,468.048,1.45627,0.94204,0.91404,0.69701,0.68581,0.73866,0.42556,1.44268,0.99956,0.95748,0.0010298,0.0010298,0.0010298
51,476.793,1.41833,0.93018,0.91707,0.71333,0.70188,0.75905,0.4575,1.35362,0.96478,0.95033,0.00101,0.00101,0.00101
52,485.38,1.38492,0.92534,0.92154,0.71769,0.72468,0.7763,0.46622,1.36318,0.93905,0.94783,0.0009902,0.0009902,0.0009902
53,494.263,1.39466,0.93295,0.91763,0.73305,0.71273,0.78382,0.48274,1.30081,0.95401,0.92983,0.0009704,0.0009704,0.0009704
54,502.932,1.41362,0.9359,0.92107,0.7263,0.7297,0.78185,0.47694,1.31963,0.94132,0.935,0.0009506,0.0009506,0.0009506
55,511.735,1.38924,0.92725,0.91832,0.74591,0.71372,0.78421,0.48712,1.30558,0.91965,0.93624,0.0009308,0.0009308,0.0009308
56,520.677,1.40206,0.91776,0.91925,0.71772,0.74011,0.78804,0.49065,1.29407,0.92261,0.93277,0.000911,0.000911,0.000911
57,530.762,1.37605,0.91569,0.91395,0.71353,0.73168,0.784,0.48817,1.27832,0.96091,0.93018,0.0008912,0.0008912,0.0008912
58,542.17,1.38695,0.91373,0.91115,0.7065,0.75989,0.78443,0.48139,1.31609,0.91929,0.93617,0.0008714,0.0008714,0.0008714
